NOME_PRODUTO,URL,CATEGORIA,PORCAO,CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
"Jasmine Jasmine Rosquinhas Integrais Light Laranja, Cenoura e Mel",https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/jasmine-rosquinhas-integrais-light-laranja-cenoura-e-mel/9-unidades,Produto Jasmine Alimentos,30,115,20.0,2.0,3.0,1.0,1.8,3.5,82
Jasmine Aveia Flocos Grossos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/aveia-flocos-grossos/2-colheres-de-sopa,Produto Jasmine Alimentos,30,104,18.0,4.2,1.7,0.4,2.8,0.5,0
Jasmine Cookies Integrais Castanha do Pará,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-castanha-do-par%C3%A1/5-unidades,Produto Jasmine Alimentos,30,121,18.0,2.2,4.5,1.5,1.2,0.0,45
Jasmine Cookies Integrais 7 Grãos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-7-gr%C3%A3os/9-unidades,Produto Jasmine Alimentos,30,119,20.0,2.3,3.3,1.4,1.1,0.0,45
Jasmine Cookies Integrais Light de Castanha do Pará,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-light-de-castanha-do-par%C3%A1/10-unidades,Produto Jasmine Alimentos,35,143,22.0,2.6,5.0,1.4,2.1,5.2,38
Jasmine Cookies Integrais Diet Cappuccino e Avelã,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-diet-cappuccino-e-avel%C3%A3/8-biscoitos,Produto Jasmine Alimentos,30,103,14.0,2.4,4.2,1.0,2.6,0.0,62
Jasmine Red Berries,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/red-berries/3-scoops,Produto Jasmine Alimentos,50,180,40.0,1.5,1.5,0.5,3.2,0.0,10
Jasmine Granola Zero Açúcar Frutas Tropicais,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-zero-a%C3%A7%C3%BAcar-frutas-tropicais/1-colher-de-ch%C3%A1,Produto Jasmine Alimentos,40,158,23.0,5.0,5.0,1.0,5.0,0.0,12
Jasmine Aveia em Flocos Finos Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/aveia-em-flocos-finos-integral/2-colheres-de-sopa,Produto Jasmine Alimentos,30,105,17.0,4.2,2.2,0.3,2.8,0.5,0
Jasmine Rosquinhas Integrais Light Coco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/rosquinhas-integrais-light-coco/9-unidades,Produto Jasmine Alimentos,30,115,20.0,2.1,3.0,1.0,1.8,3.9,85
Jasmine Fibra de Trigo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/fibra-de-trigo/1-colher-de-sopa,Produto Jasmine Alimentos,10,15,2.2,1.6,0.0,0.0,4.3,0.3,0
Jasmine Linchia,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/linchia/1-colher-de-sopa,Produto Jasmine Alimentos,15,76,4.8,3.0,5.0,0.5,4.5,0.0,0
Jasmine Granola Cereais Maltados com Castanha-do-Pará,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-cereais-maltados-com-castanha-do-par%C3%A1/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,40,144,19.0,4.3,5.8,1.6,3.7,0.0,10
